Tweet_ID,Created_Date,Text,Likes,Retweets,Elapsed (Hours),Like Score,Retweet Score
1408100105350225923,2021-06-24 16:30:01+05:30,"Be careful of fraudsters trying to convince you to share your UPI PIN over the phone. Stay safe, practice #SafeBanking. Know more: https://t.co/sY8HeLZLhN
#KnowTheDifference #iPledgeSafeBanking https://t.co/yoj1Wj5AmT",16,1,170.5871577036111,0.09379369593459908,0.005862105995912442
1408069905908310020,2021-06-24 14:30:00+05:30,"Access your ICICI Bank account from your mobile phone using iMobile Pay and get a host of services like money transfer, bill payments, online recharges and more at  your fingertips. Watch the video to know more. 
https://t.co/G2Syis8R8s",20,1,172.5874354813889,0.11588329094881718,0.005794164547440858
1408039705338286084,2021-06-24 12:30:00+05:30,"Get access to credit from the safety of your home! With #ICICIBankInstaFlexiCash, salaried account customers can get an instant approval for overdraft facility against their salary in a fully digital and safe manner. Read more.
https://t.co/4IqiIXIPDF",11,1,174.5874354813889,0.0630056794732666,0.005727789043024236
1408024606800105477,2021-06-24 11:30:00+05:30,"‘#ICICIStackForCorporates’ is the Bank’s all-new initiative that offers a comprehensive set of 360-degree digital banking solutions to the entire corporate ecosystem, including employees, dealers, vendors and all other stakeholders. Read more here.
https://t.co/79fM0ExYFv",13,1,175.5874354813889,0.074037188164172,0.005695168320320923
1407998150988623874,2021-06-24 09:44:53+05:30,"Save Tax Deducted at Source (TDS) on term-deposit interest by submitting your Form 15G/15H conveniently from the comfort and safety of your home through #ICICIBank internet banking or #iMobilePay. 

Download app: https://t.co/8oiFFXOgD6
      
Know more: https://t.co/3vUfLZDpJo https://t.co/oNUF8qrPgj",742,18,177.33937992583333,4.1840678607893995,0.10150029850971588
1407969669915439108,2021-06-24 07:51:42+05:30,Ease your bulk payments with the #ICICIBank #InstaBIZ app and transfer funds to multiple people with a single upload. Know more: https://t.co/ivrdUQZClw #BankComesHome https://t.co/dIzGbi8yrG,2860,139,179.22576881472222,15.957526749161696,0.7755581182284881
1407965554833379328,2021-06-24 07:35:21+05:30,@PSTamangGolay @ICICIFoundation Thank you for your kind words of appreciation @PSTamangGolay Sir. We at #ICICIBank and #ICICIFoundation stand hand in hand with the citizens and are committed to assist the authorities who are at the forefront of safeguarding the citizens against the pandemic.,1,0,179.49826881472222,0.005571084370915009,0.0
1407965531525685249,2021-06-24 07:35:16+05:30,Thank you for your kind words of appreciation @PSTamangGolay Sir. We at #ICICIBank and #ICICIFoundation stand hand in hand with the citizens and are committed to assist the authorities who are at the forefront of safeguarding the citizens against the pandemic. https://t.co/a4l08pfUX0,23,2,179.49965770361112,0.12813394907959924,0.011142082528660804
1407737717388050433,2021-06-23 16:30:00+05:30,"Private confidential information, such as your CVV, passwords, OTP, PIN and card number should never be shared with anyone over call or SMS. Practice #SafeBanking.

Know more: https://t.co/h7Aw52F3mY

#KnowTheDifference #iPledgeSafeBanking https://t.co/95LSyMBcG2",24,3,194.5874354813889,0.12333787091970518,0.015417233864963147
1407707516495093770,2021-06-23 14:30:00+05:30,"#ICICIBank makes raising a demand draft request simple for its users with #InstaBIZ app. Watch this step-by-step guide to get started.
https://t.co/Yy2Dm3Ax9N",18,1,196.5874354813889,0.09156231147694115,0.005086795082052286
1407662219924365322,2021-06-23 11:30:00+05:30,"With ‘#ICICIStackForCorporates’, the Bank offers a comprehensive set of 360-degree digital banking solutions to the entire corporate ecosystem, including vendors, dealers, employees and all other stakeholders across 15 leading industries. Read more here.
https://t.co/qpiHjjDyXu",17,3,199.58772106027777,0.08517558049007336,0.015030984792365887
1407662216850063366,2021-06-23 11:30:00+05:30,"With ‘#ICICIStackForCorporates’, the Bank offers a comprehensive set of 360-degree digital banking solutions to the entire corporate ecosystem, including vendors, dealers, employees and all other stakeholders across 15 leading industries. Read more here.
https://t.co/qpiHjjVam4",8,1,199.58772106027777,0.0400826261129757,0.005010328264121963
1407602453386731520,2021-06-23 07:32:31+05:30,@PRDJSR @DCEastSinghbhum @JharkhandCMO @jnacjsr Thank you for your kind words @PRDJSR. #ICICIBank is committed to assist the authorities who have been at the forefront of safeguarding citizens against the pandemic.,3,1,203.54577661583332,0.014738699322964175,0.004912899774321392
1407602416166477830,2021-06-23 07:32:22+05:30,Thank you for your kind words @PRDJSR. #ICICIBank is committed to assist the authorities who have been at the forefront of safeguarding citizens against the pandemic. https://t.co/nOhGopjXZO,27,4,203.54827661583332,0.1326466647072548,0.019651357734408122
